date,block_time,tx_vol,tx_number,tx_fees,tx_vol_issues_chouts,m_total,_m_circ_wh_bill_1,_m_circ_mc_lifo_1,_m_circ_mc_fifo_1,_dormancy_1,_sdd_1
09/01/03,2009-01-03,5000000000.0,1.0,0.0,0.0,5000000000.0,0,0,0,-2.6922908347160046e-14,7.624853134155273
09/01/04,,,,,,,0,0,0,-2.6922908347160046e-14,7.624853134155273
09/01/05,,,,,,,0,0,0,-2.6922908347160046e-14,7.624853134155273
09/01/06,,,,,,,0,0,0,-2.6922908347160046e-14,7.624853134155273
09/01/07,,,,,,,0,0,0,-2.6922908347160046e-14,7.624853134155273
09/01/08,,,,,,,0,0,0,-2.6922908347160046e-14,7.624853134155273
09/01/09,2009-01-09,70000000000.0,14.0,0.0,0.0,10000000000.0,0,0,0,-2.6922908347160046e-14,7.624853134155273
09/01/10,2009-01-10,305000000000.0,61.0,0.0,0.0,80000000000.0,0,0,0,-2.6922908347160046e-14,7.624853134155273
09/01/11,2009-01-11,465000000000.0,93.0,0.0,0.0,385000000000.0,0,0,0,-2.6922908347160046e-14,7.624853134155273
09/01/12,2009-01-12,487900000000.0,101.0,0.0,17700000000.0,850000000000.0,5000000000,0,0,0.03487349885751067,17014780100.217445
09/01/13,2009-01-13,615000000000.0,123.0,0.0,0.0,1320000000000.0,0,0,0,-2.692117362368407e-14,7.624853134155273
09/01/14,2009-01-14,651100000000.0,130.0,0.0,0.0,1935000000000.0,6100000000,6100000000,6100000000,0.01177610930502379,7667424776.143372
09/01/15,2009-01-15,680000000000.0,134.0,0.0,7500000000.0,2580000000000.0,40000000000,32500000000,32500000000,0.0998914079520428,67926157415.03226
09/01/16,2009-01-16,560000000000.0,110.0,0.0,0.0,3210000000000.0,20000000000,20000000000,20000000000,0.0729788773147879,40868171303.92114
09/01/17,2009-01-17,545000000000.0,109.0,0.0,0.0,3750000000000.0,0,0,0,-2.6909030559352232e-14,7.624843597412109
09/01/18,2009-01-18,550000000000.0,108.0,0.0,0.0,4295000000000.0,15000000000,15000000000,15000000000,0.0611055345117576,33608043989.106323
09/01/19,2009-01-19,652500000000.0,117.0,0.0,0.0,4830000000000.0,77500000000,77500000000,77500000000,0.4720469703419626,308010648155.773
09/01/20,2009-01-20,610000000000.0,115.0,0.0,0.0,5405000000000.0,40000000000,40000000000,40000000000,0.24707033621733798,150712905100.21738
09/01/21,2009-01-21,520000000000.0,103.0,0.0,0.0,5975000000000.0,10000000000,10000000000,10000000000,0.0677865696224802,35249016211.32849
09/01/22,2009-01-22,505000000000.0,92.0,0.0,0.0,6485000000000.0,50000000000,50000000000,50000000000,0.3896002933626426,196748148155.77292
09/01/23,2009-01-23,465000000000.0,86.0,0.0,0.0,6940000000000.0,45000000000,45000000000,45000000000,0.35162833532454496,163507175933.55072
09/01/24,2009-01-24,1055000000000.0,202.0,0.0,0.0,7360000000000.0,50000000000,50000000000,50000000000,0.22420303449181092,236534201396.51376
09/01/25,2009-01-25,960000000000.0,192.0,0.0,0.0,8365000000000.0,5000000000,5000000000,5000000000,0.009254798418182886,8884606489.106262
09/01/26,2009-01-26,580000000000.0,97.0,0.0,0.0,9320000000000.0,100000000000,100000000000,100000000000,0.5273604126755795,305869039359.47656
09/01/27,2009-01-27,500000000000.0,98.0,0.0,0.0,9800000000000.0,15000000000,15000000000,15000000000,0.056245601851824756,28122800933.55068
09/01/28,2009-01-28,560000000000.0,112.0,0.0,0.0,10285000000000.0,0,0,0,-2.708944180085382e-14,7.624755859375
09/01/29,2009-01-29,665000000000.0,122.0,0.0,0.0,10845000000000.0,60000000000,60000000000,60000000000,0.2253423489278482,149852662044.66183
09/01/30,2009-01-30,585000000000.0,117.0,0.0,0.0,11450000000000.0,0,0,0,-2.708944180085382e-14,7.624755859375
09/01/31,2009-01-31,790000000000.0,139.0,0.0,0.0,12035000000000.0,100000000000,100000000000,100000000000,1.5583162652367284,1231069849544.6616
09/02/01,2009-02-01,575000000000.0,114.0,0.0,0.0,12725000000000.0,10000000000,10000000000,10000000000,0.020016807568410927,11509664359.47647
09/02/02,2009-02-02,645000000000.0,129.0,0.0,0.0,13290000000000.0,5000000000,5000000000,5000000000,0.13459069049667113,86810995377.99498
09/02/03,2009-02-03,768652000000.0,155.0,201000000.0,51764000000.0,13930000000000.0,20000000000,10001000000,10001000000,0.11463584678771638,88115072912.71724
09/02/04,2009-02-04,595000000000.0,119.0,0.0,0.0,14625000000000.0,0,0,0,-2.708944180085382e-14,7.6246337890625
