date,block_time,tx_vol,tx_number,tx_fees,tx_vol_issues_chouts,m_total,m_circ_wh_bill_1,m_circ_mc_lifo_1,m_circ_mc_fifo_1,dormancy_1,sdd_1
09/01/03,2009-01-03,5000000000,1,0,0,5000000000,0,0,0,-2.692290834716E-14,7.6248531342
09/01/04,,,,,,,0,0,0,-2.692290834716E-14,7.6248531342
09/01/05,,,,,,,0,0,0,-2.692290834716E-14,7.6248531342
09/01/06,,,,,,,0,0,0,-2.692290834716E-14,7.6248531342
09/01/07,,,,,,,0,0,0,-2.692290834716E-14,7.6248531342
09/01/08,,,,,,,0,0,0,-2.692290834716E-14,7.6248531342
09/01/09,2009-01-09,70000000000,14,0,0,10000000000,0,0,0,-2.692290834716E-14,7.6248531342
09/01/10,2009-01-10,305000000000,61,0,0,80000000000,0,0,0,-2.692290834716E-14,7.6248531342
09/01/11,2009-01-11,465000000000,93,0,0,385000000000,0,0,0,-2.692290834716E-14,7.6248531342
09/01/12,2009-01-12,487900000000,101,0,17700000000,850000000000,5000000000,0,0,0.0348734989,17014780100.2174
09/01/13,2009-01-13,615000000000,123,0,0,1320000000000,0,0,0,-2.69211736236841E-14,7.6248531342
09/01/14,2009-01-14,651100000000,130,0,0,1935000000000,6100000000,6100000000,6100000000,0.0117761093,7667424776.14337
09/01/15,2009-01-15,680000000000,134,0,12500000000,2580000000000,40000000000,30000000000,30000000000,0.099891408,67926157415.0323
09/01/16,2009-01-16,560000000000,110,0,0,3210000000000,20000000000,20000000000,20000000000,0.0729788773,40868171303.9211
09/01/17,2009-01-17,545000000000,109,0,0,3750000000000,0,0,0,-2.69090305593522E-14,7.6248435974
09/01/18,2009-01-18,550000000000,108,0,0,4295000000000,15000000000,15000000000,15000000000,0.0611055345,33608043989.1063
09/01/19,2009-01-19,652500000000,117,0,0,4830000000000,77500000000,77500000000,77500000000,0.4720469703,308010648155.773
09/01/20,2009-01-20,610000000000,115,0,0,5405000000000,40000000000,40000000000,40000000000,0.2470703362,150712905100.217
09/01/21,2009-01-21,520000000000,103,0,0,5975000000000,10000000000,10000000000,10000000000,0.0677865696,35249016211.3285
09/01/22,2009-01-22,505000000000,92,0,0,6485000000000,50000000000,50000000000,50000000000,0.3896002934,196748148155.773
09/01/23,2009-01-23,465000000000,86,0,0,6940000000000,45000000000,45000000000,45000000000,0.3516283353,163507175933.551
09/01/24,2009-01-24,1055000000000,202,0,0,7360000000000,50000000000,50000000000,50000000000,0.2242030345,236534201396.514
09/01/25,2009-01-25,960000000000,192,0,0,8365000000000,5000000000,5000000000,5000000000,0.0092547984,8884606489.10626
09/01/26,2009-01-26,580000000000,97,0,0,9320000000000,100000000000,100000000000,100000000000,0.5273604127,305869039359.477
09/01/27,2009-01-27,500000000000,98,0,0,9800000000000,15000000000,15000000000,15000000000,0.0562456019,28122800933.5507
09/01/28,2009-01-28,560000000000,112,0,0,10285000000000,0,0,0,-2.70894418008538E-14,7.6247558594
09/01/29,2009-01-29,665000000000,122,0,0,10845000000000,60000000000,60000000000,60000000000,0.2253423489,149852662044.662
09/01/30,2009-01-30,585000000000,117,0,0,11450000000000,0,0,0,-2.70894418008538E-14,7.6247558594
09/01/31,2009-01-31,790000000000,139,0,0,12035000000000,100000000000,100000000000,100000000000,1.5583162652,1231069849544.66
09/02/01,2009-02-01,575000000000,114,0,0,12725000000000,10000000000,10000000000,10000000000,0.0200168076,11509664359.4765
09/02/02,2009-02-02,645000000000,129,0,0,13290000000000,5000000000,5000000000,5000000000,0.1345906905,86810995377.995
09/02/03,2009-02-03,768652000000,155,201000000,51764000000,13930000000000,20000000000,10001000000,10001000000,0.1146358468,88115072912.7172
09/02/04,2009-02-04,595000000000,119,0,0,14625000000000,0,0,0,-2.70894418008538E-14,7.6246337891
09/02/05,2009-02-05,630000000000,126,0,0,15220000000000,0,0,0,-2.70894418008538E-14,7.6246337891
